cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,lof_score,lof_outlier,shap_dominante,shap_dominante_valor
2603108,Cachoeirinha,PE,2,1.1294568594182646,False,lat,0.22700451958082962
2603207,Caetés,PE,2,1.147449293006248,False,idhm,0.24612016922756574
2603306,Calçado,PE,2,1.0227527832910077,False,lat,0.1898649016375788
2603405,Calumbi,PE,2,1.024203417803412,False,lat,0.22456164129690237
2603454,Camaragibe,PE,0,1.211362445878393,False,densidade,0.24791857501062184
2603504,Camocim de São Félix,PE,2,1.0537305010140654,False,lat,0.2205603957871867
2603603,Camutanga,PE,2,1.1417678728467577,False,lat,0.2812468065101559
2603702,Canhotinho,PE,2,1.0966282787176935,False,lat,0.19537207438437584
2603801,Capoeiras,PE,2,1.0514338118371953,False,lat,0.19632417686479375
2603900,Carnaíba,PE,2,1.0474984519549895,False,lat,0.18613842254122465
2603926,Carnaubeira da Penha,PE,2,1.051411310157501,False,lat,0.19674951342989225
2604007,Carpina,PE,2,1.0752602123174597,False,lat,0.4431710620424537
2604106,Caruaru,PE,2,1.0755196676427663,False,lat,0.38024873923181096
2604155,Casinhas,PE,2,1.1084224617222334,False,lat,0.18320802476105125
2604205,Catende,PE,2,1.0367392729294704,False,lat,0.20136555366885817
2604304,Cedro,PE,2,1.007284988825551,False,lat,0.25579390525522316
2604403,Chã de Alegria,PE,2,1.0018273134617315,False,lat,0.23539521159633148
2604502,Chã Grande,PE,2,1.0359006144512635,False,lat,0.2168808297943526
2604601,Condado,PE,2,1.026548549923344,False,lat,0.21848993260235341
2604700,Correntes,PE,2,1.045165183453502,False,lat,0.20712498210341168
2604809,Cortês,PE,2,1.084745623359959,False,lat,0.20831662244602728
2604908,Cumaru,PE,2,1.047388477872634,False,lat,0.19722385911008739
2605004,Cupira,PE,2,1.1536600028161543,False,lat,0.22695789486547327
2605103,Custódia,PE,2,1.1032112471062268,False,lat,0.23023620410382867
2605152,Dormentes,PE,2,1.0568810844657226,False,lat,0.22698925448531637
2605202,Escada,PE,2,0.9925948174835593,False,lat,0.3246759598326084
2605301,Exu,PE,2,1.0851496765756095,False,lat,0.19986413720367063
2605400,Feira Nova,PE,2,1.1852559820768425,False,lat,0.2347006075272211
2605459,Fernando de Noronha,PE,2,2.010147046350434,True,idhm,0.20305598379014458
2605509,Ferreiros,PE,2,1.4678284835247781,True,lat,0.24569039975820214
2605608,Flores,PE,2,1.0509759416465134,False,lat,0.17708443290548276
2605707,Floresta,PE,2,1.179636622957913,False,lat,0.25451406997766696
2605806,Frei Miguelinho,PE,2,0.9908246009288824,False,lat,0.19705647774377566
2605905,Gameleira,PE,2,1.15527626643479,False,idhm,0.2535977394724507
2606002,Garanhuns,PE,2,1.0733948776380362,False,lat,0.3940714175657039
2606101,Glória do Goitá,PE,2,0.9929983317514447,False,lat,0.2741025971481348
2606200,Goiana,PE,0,1.2774574251293815,False,pib_industria,0.4497436701027202
2606309,Granito,PE,2,1.0336305363450526,False,lat,0.24884880702918
2606408,Gravatá,PE,2,0.9902590389018204,False,lat,0.29196918632490276
2606507,Iati,PE,2,1.080869826875789,False,lat,0.19661871542288875
2606606,Ibimirim,PE,2,1.0115294476308214,False,lat,0.19121657469947412
2606705,Ibirajuba,PE,2,1.0823239984849433,False,lat,0.21696992475521007
2606804,Igarassu,PE,2,1.0998265400665184,False,lat,0.41932663988076524
2606903,Iguaracy,PE,2,1.0584314050449164,False,lat,0.20605278191698911
2607000,Inajá,PE,2,1.203775513669377,False,lat,0.18569930162428228
2607109,Ingazeira,PE,2,1.0728149071509292,False,lat,0.25848104016425877
2607208,Ipojuca,PE,0,1.1779820845299178,False,pib_industria,0.29160571980470645
2607307,Ipubi,PE,2,1.1104252241656494,False,lat,0.19226272284737447
2607406,Itacuruba,PE,2,1.0310631125145835,False,lat,0.2589825020996321
2607505,Itaíba,PE,2,1.1565718677054726,False,lat,0.19159139256404525
2607604,Ilha de Itamaracá,PE,2,1.0769559093908467,False,lat,0.34446109617856036
2607653,Itambé,PE,2,1.0741160622669956,False,lat,0.22405080668608138
2607703,Itapetim,PE,2,1.1150366235685625,False,lat,0.227093638897853
2607752,Itapissuma,PE,2,1.5043667262629756,True,lat,0.3498772226365758
2607802,Itaquitinga,PE,2,1.0137441009080648,False,lat,0.21187362219428604
2607901,Jaboatão dos Guararapes,PE,0,1.0958143395554676,False,densidade,0.2140944089266884
2607950,Jaqueira,PE,2,0.9939287331935167,False,lat,0.2140528943544962
2608008,Jataúba,PE,2,1.134857232079856,False,lat,0.20166043084952281
2608057,Jatobá,PE,2,1.1059646901959654,False,lat,0.30251346993250355
2608107,João Alfredo,PE,2,1.227617794924194,False,lat,0.1945339242491002
2608206,Joaquim Nabuco,PE,2,1.315900971922229,True,lat,0.21747460235702581
2608255,Jucati,PE,2,1.059872831311271,False,lat,0.20468817633018385
2608305,Jupi,PE,2,1.125136377727454,False,lat,0.21705808687885242
2608404,Jurema,PE,2,1.2470929846527057,False,lat,0.21064032660698545
