cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,lof_score,lof_outlier,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP,pib_agropecuaria,pib_industria,pib_per_capita,area_km2,densidade,pop_rural,idhm
4301925,Barra do Rio Azul,RS,1,1.2967474044222653,True,-0.8499248541926483,-0.7478574244936413,0.18525425306900933,0.3619284098860914,0.6482015370460799,-1.5247282736284715,0.7883462256610225,-0.2232325594707243,-0.16851262108353854,0.3803925881457501,-0.2459332205687012,-0.17557353843377158,-0.6073538552122241,0.8857535227549386
4115853,Mercedes,PR,1,1.2964266663115023,True,-0.07792326544432182,0.23247057875349667,0.06318176922485291,-0.20880842770747315,-2.3630528089842238,1.9586190504958196,3.131133164894432,-0.06332171671556752,-0.15831070631477567,0.37375363611546863,-0.2369881236665169,-0.14439596555508244,-0.38254954131638697,1.1218504056570149
3129905,Ibitiúra de Minas,MG,1,1.2961991622531879,True,0.7391027436718803,0.24848583900746216,0.9155307520342064,-4.20162937971753,-0.013501805248285287,0.8202575669176154,1.6705961621387273,-0.3349439301062975,-0.16724711710214923,-0.2784642842882961,-0.2599694639457172,-0.1121763390276177,-0.641703954375508,0.20523897791954337
4127403,Terra Roxa,PR,1,1.2961366895918756,True,-0.5181152762314456,0.7653656939747369,0.9628647006024772,0.2566731427285952,0.2255272997823423,1.843011417157048,-0.7428474147427793,1.0057368332882506,-0.12577018030258963,0.40588489451656234,-0.12929390950966912,-0.15693422397422105,-0.12015794613716586,0.7607610553361922
5203104,Baliza,GO,1,1.2961008436670116,True,1.5895387382909751,0.48228329945423026,1.0984557301718052,-0.30445809855568823,1.4360268055160963,-0.4955040271599856,-0.22415108916239393,-0.13436917019646052,-0.16766803297131483,-0.2654617405642516,0.045423861829247826,-0.19180940657437198,-0.4454947492072213,-0.05863400885336555
3161106,São Francisco,MG,1,1.2954104318799797,True,-0.5882948258498253,0.322116945640152,0.5179630534543755,0.5541531625499447,1.0312486945882728,-0.5006460881011371,-0.6832225562373079,-0.12860750176859403,-0.15249300596554072,-0.5350905733708268,0.3180042865208926,-0.16816151167393228,2.0178210007378037,-0.294730891755442
3204401,Rio Novo do Sul,ES,1,1.2935772195518633,True,1.1128122580542577,0.33733467812252593,0.38033546345227,0.4075593159084645,-0.8349807422719276,1.6128256648569914,-0.30942815730467904,-0.3420786176941839,-0.1459186455477723,-0.3365619747002901,-0.23568081686969977,-0.10397436837273884,-0.08922487254509867,0.7190968995299434
4122172,Rio Branco do Ivaí,PR,1,1.2930107311195491,True,1.165412793622993,-1.2391774468444174,0.6038376872261983,-1.7527934906942173,0.452691036875111,-0.02411124490085623,-0.6703451733921706,-0.24840950666712783,-0.16678120392527923,-0.13906156293621508,-0.20505954569889295,-0.177960177435806,-0.5104182350603391,-0.2669547878846094
3532405,Nazaré Paulista,SP,1,1.2927368273035973,True,2.1012867400467856,0.38807939106050465,0.5309126087377761,0.08115357796788715,0.8530330119653671,-1.1691625995940556,-0.7214867795485727,-0.3353481839996773,-0.12758456034628826,-0.21962259601732156,-0.2139536205290399,-0.10111712449706382,0.8058559836625664,0.2607911856612084
4304689,Capela de Santana,RS,1,1.2924966688156287,True,-0.018091672974664744,0.38715563766451816,0.9867431222147445,0.4715755792830564,0.6717741188817128,1.9561493196557262,3.131133164894432,-0.3161354899846717,-0.1318120550191568,-0.22341202193087867,-0.2395534991766465,-0.09234370506704995,-0.22122996566473424,0.024694302759132005
