cod_mun,uf,nome_mun,IND2,IND4,IND5,IND8,IND9,INF1,INF4-DL,INF4-UP
1101708,RO,Urupá,-0.5899935744033712,1.1240772790341018,-0.5772399394161079,0.3838988822051138,0.5902317303650431,-0.38427564698095773,-0.23189420184708573,-0.709391066835777
1101757,RO,Vale do Anari,-0.5397591528913603,-0.4147391141481667,-1.467817093186069,-4.15278662145896,0.059910829954161,-0.12846895548005713,-0.9276312393180103,-0.5987046156520174
1101807,RO,Vale do Paraíso,-1.065855512965516,0.8670697254300186,-1.0917179923428344,0.5583824017434986,-2.5617194900891347,0.009825463957346204,-0.555648741777632,-0.58201196525124
1200013,AC,Acrelândia,0.0930322670035199,0.18218513992331933,-0.8753152366938795,-0.0092741170741812,-1.5488238336953386,0.48597975337653204,-0.41260237995851257,-0.6577030438502054
1200054,AC,Assis Brasil,-0.022645142471191912,-4.7196343234215465,-2.7275609538231205,0.24566832269836675,-2.2372012992505015,1.0191170907270475,-0.6637536124254875,-0.6901656694441862
1200104,AC,Brasiléia,-0.020071018387501947,-0.7485718078146805,-1.8407577600734375,-0.36403983310638116,-0.32471452676214463,-0.1231651093988463,-1.0256015557280638,-0.6653961915977304
1200138,AC,Bujari,0.19145351132460603,-0.36046772537495103,-0.8386720752957493,0.6541694519836232,-2.0562454812078736,-0.027741941392911838,-0.07595489105925518,-0.24949530136525302
1200179,AC,Capixaba,-0.41920867518077437,-1.1126137625961265,-0.17228769455170057,0.6588651965163538,0.2914799329372443,0.2784243449598006,0.10900522358878993,-0.06271410751139843
1200203,AC,Cruzeiro do Sul,-0.48475458477140065,-2.3556175947664455,-2.4703644859869023,0.20683925548865756,0.4750059750602215,-0.20537868225734343,-0.8255782531276397,-0.6996665797621231
1200252,AC,Epitaciolândia,-0.3066059139171368,-0.25715972575758456,-2.0945722218805556,0.5134889356304643,-0.7905748855973441,-0.5861353602901465,-0.7279196439766042,-0.7043710379358892
1200302,AC,Feijó,-0.3902389453836908,-2.001921046753471,-2.2396478846072667,0.17135177147978714,-0.47729846024326034,-0.08381754464482209,-0.7534393998357284,-0.6028142537814586
1200328,AC,Jordão,-0.8951995366242153,-3.133045506916685,-4.336569178893553,0.20706091372728305,-0.11324513934485927,0.05600909652974036,-0.9651507700912083,-0.6440032586462932
1200336,AC,Mâncio Lima,0.5581632716225043,-1.4800082688540053,-1.3462498382491677,-0.4129845297966741,-1.0842488755408812,-0.22889000873130694,-0.402642442933839,0.06618991064478641
1200344,AC,Manoel Urbano,-0.2565155826842215,-1.3989446999126187,-2.1820619617195387,0.07894841950600712,0.6561080167255718,0.25901153824096446,-0.6217133225254273,-0.5927331127713314
1200351,AC,Marechal Thaumaturgo,-0.3613564281239548,-4.551984906862264,-4.336569178893553,-0.3502288197747532,-0.4184410278201359,2.886545061886376,-1.1534052303980273,-0.6956850543811147
1200385,AC,Plácido de Castro,-0.5130493653664054,0.4314575739746909,-2.0073421993715295,0.4745572236056618,-0.2709380801175459,0.2048395378046223,-0.7413317845093992,-0.688786773037567
1200393,AC,Porto Walter,1.0414079410635655,-5.87890510675895,-4.336569178893553,-0.7590245840110735,-0.01837911836025238,2.149019158419383,-1.1052101891930985,-0.7493214397525491
1200401,AC,Rio Branco,-0.7000330454388899,0.28231523847852963,-0.1320723253604583,0.5215048039237381,0.5534545100738111,-0.7189000113251058,1.2678914883531918,2.195043424345316
1200427,AC,Rodrigues Alves,-0.31346157772251987,-0.06377468779657491,-1.6087326455967863,0.15210842623771675,0.6317855427969483,-0.168294260106597,-0.4920970511587805,-0.5620853417939392
1200435,AC,Santa Rosa do Purus,0.09087849651598781,-0.876670221305794,-4.336569178893553,-0.3724711279117413,-0.5647525247700694,2.8126811411431802,-0.8159602381208139,-0.4412860922980122
1200450,AC,Senador Guiomard,0.7054235368580453,-0.2660958299361693,-0.4863205533776022,0.19987577666813658,0.24158222005500204,-0.013817783414854038,-0.08183023509793218,0.3331209525288261
1200500,AC,Sena Madureira,-0.31749610553719226,-0.39238947237925265,-1.65505341999787,0.3099376174776497,0.41558440648827144,-0.41771408061899074,-0.5651989866795522,-0.5819232133590874
1200609,AC,Tarauacá,1.5491100394563535,-1.8706621421310579,-2.472096278166799,0.3636547865525312,0.5982612118947939,-0.15319593797996658,-0.8301220484544019,-0.5651217507069721
1200708,AC,Xapuri,0.3313120864339814,-1.1131219321750125,-1.00402042613291,0.09533493106448471,-1.8291370194270908,-0.084923622353582,-0.4712505864755219,-0.7053983714820404
1200807,AC,Porto Acre,-0.1551886149616196,-0.32139022123637584,-2.1348387123245636,-0.35503198330010594,-1.6320495845708085,1.1416075294954995,-0.5806829621720679,-0.6083558773488981
1300029,AM,Alvarães,3.189293478249213,-4.274214470122574,-4.336569178893553,-6.976187422416592,0.5531105901592318,0.6862087248065337,-0.997091215036925,-0.5691172322217065
1300060,AM,Amaturá,0.4489580074659592,-3.4947228114399405,-4.336569178893553,-11.679901786756414,-3.2203349095963096,1.3330956817376096,-0.8470926126243998,-0.7109401216931616
1300086,AM,Anamã,0.9172438308272438,0.036835839679348586,-2.0310942645899996,-1.1819050242506002,-1.1554599465379831,-0.18173009529136058,-0.6968785794745499,-0.633976324750335
1300102,AM,Anori,1.20848061967473,-4.447568683732632,-0.015526233250766653,0.6812697292543594,0.49308351650418963,1.287310101914688,-0.17275096711940469,-0.4437030580166019
1300144,AM,Apuí,-0.25475616453947714,-3.036042457395378,-4.336569178893553,-1.3364447828708064,0.050795239309790644,0.5355308325354191,-0.6546631686646358,-0.3892339108332274
1300201,AM,Atalaia do Norte,0.30907288941043476,-6.189451487676374,-4.336569178893553,-4.658673078675202,-0.6775748705814417,1.3152937636176323,-0.9394330783262068,-0.6042209647589755
1300300,AM,Autazes,1.3538601275831303,-1.4720807883530422,-1.8119101219189673,0.40100437027246394,0.2384905309522962,-0.782434063828346,-0.8568622015997441,-0.3978294997463776
1300409,AM,Barcelos,0.21996063548880423,-3.4056143072215823,-4.063165994891701,-0.5014747613265819,0.5320182376539296,-0.025574980078216736,-0.7149466706309001,-0.7302680063887859
1300508,AM,Barreirinha,0.5379527140546437,-1.9926326607653697,-1.5429595540263141,0.3213854129725303,0.7758269821957973,1.218205852052605,-0.4881292911566514,-0.714769414131955
1300607,AM,Benjamin Constant,0.9030471464868929,-5.726132462501005,-4.336569178893553,-0.41583113310006453,0.01973594129815989,-0.14391879940634988,-1.1813523677027955,-0.7256091833611317
1300631,AM,Beruri,1.6903260966687856,-1.3789512740586243,-1.8252153236833761,-3.0095317639969448,0.26427599291612885,-1.0272153269534106,0.508362662475953,-0.6869975511021595
1300680,AM,Boa Vista do Ramos,0.30872024741159587,-3.637800459780022,-0.3340320474314373,0.14050717503911997,0.6007534553842091,1.4662440894877884,-0.2511957265244907,-0.20661059911476942
1300706,AM,Boca do Acre,1.216671014486471,-3.6953238085502393,-3.601677562793818,0.24157310148602323,-0.4670176557325187,0.1471399141646395,-0.8410258356511384,-0.6224680360908516
1300805,AM,Borba,0.7776987152723922,-2.384863472973723,-1.7321742743927329,-0.25716012771417507,0.25178552771301843,-0.2563861518672562,-0.4082493159132737,-0.38683529542228046
1300839,AM,Caapiranga,0.4293010599177809,0.8166310014206664,-1.7364293822669739,0.49597963984005156,1.4360268055160963,-0.7906534523453701,-0.7763498094041242,-0.6889278794277447
1300904,AM,Canutama,0.33885028314034277,-2.0067954766892315,-4.336569178893553,-5.335122262200791,-2.38797869572798,0.5191620782027953,0.033033470690098626,-0.04696677620848747
1301001,AM,Carauari,1.153142368803181,-4.727589722134989,-4.336569178893553,-1.6252308794110801,0.2808152351720064,1.70288696171551,-0.8637842971769438,-0.6143784682907917
1301100,AM,Careiro,-0.2396797711267542,-0.9039131809066763,-1.0782190572050103,0.11732001821236078,0.5415191828434892,-0.03487176778577801,-0.6586516929478679,-0.5803686368371797
1301159,AM,Careiro da Várzea,0.3291621077958992,-0.04605787622367246,-0.3846595847082778,0.5103430937049112,-0.22878966274573725,0.7383613317490418,-0.20002039633040808,1.4072492377624435
1301209,AM,Coari,0.6673382009834502,-4.164569080322162,-3.418258198039365,-1.528212773414719,0.4349243627365994,1.6739397677342494,-0.9429995019354608,-0.26490593777593063
1301308,AM,Codajás,1.7924898963969034,-3.6759752527412,-1.9951853212102009,0.2791894789078734,0.32770549955659145,0.39431388350439833,-0.6844924515601291,-0.26454358487377977
1301407,AM,Eirunepé,1.5710041781799604,-5.241900336129557,-4.336569178893553,0.11527905735337553,-1.123847633119462,0.3944227333949681,-1.1267063275488673,-0.7377343027368237
1301506,AM,Envira,0.9799989392227586,-4.638790371200676,-4.236816254041512,-3.900656708080331,-0.218841787915554,0.006436475635567299,-1.0659097276921932,-0.6314242772624267
1301605,AM,Fonte Boa,0.7978233242527222,-3.667426325384623,-4.336569178893553,-1.1424362172628435,0.5440423656569139,1.384364989569193,-0.9566319086941467,-0.6078757964802157
1301654,AM,Guajará,0.14959907709683032,-2.4901254179387453,-2.4655675765005785,0.514033703378531,0.10529966951371393,1.8855766900223987,0.029860378570372156,-0.6431367915230595
1301704,AM,Humaitá,-0.3529726489902699,-0.31803714370448116,-0.428434098705851,-0.9075185532768418,0.7340382946871664,-0.38469230932587634,-0.33667155682172384,0.4218698052331774
1301803,AM,Ipixuna,0.3106085884376364,-5.529572188825528,-4.336569178893553,-4.24854298055832,0.3697306689216552,2.448701501986666,-1.1004374189706236,-0.6248881208624028
1301852,AM,Iranduba,0.6488567267647352,-0.6013569395411197,-1.1248312597309824,0.2028171659944884,0.25071761174547785,-0.0895105905226412,-0.8582123906128625,-0.6009836953483362
1301902,AM,Itacoatiara,0.2830115081414093,-1.0641994753667015,-0.7175441488708918,0.17965930525660717,0.4888603330562638,0.6752040403167244,-0.3108719991926788,0.40566792442782
1301951,AM,Itamarati,0.3523416834830159,-4.702800274087942,-4.336569178893553,-7.792983904195847,0.32840456296224135,-0.08781400167480095,-1.0633068484447397,-0.6900382369532437
1302009,AM,Itapiranga,-0.3598965660857509,0.14084980573032055,-1.4442412320060471,0.3614134807470567,-0.08280800093766567,1.5287805690284453,-0.4228651972212641,-0.6563713095506605
1302108,AM,Japurá,1.2565650625486586,-5.766690637420843,-4.336569178893553,-5.509817331387854,0.8644081524119996,0.5248448886624891,-0.856331632829899,-0.6401127213230176
1302207,AM,Juruá,0.6042039076429475,-5.281901593664118,-4.336569178893553,-0.3693406315565702,1.4360268055160963,-0.6542466723937599,-1.0740345813076202,-0.6764692312518623
1302306,AM,Jutaí,0.6657759590100998,-4.935774457732479,-4.336569178893553,-4.438144079134089,-3.8993874096194525,0.6674667552707182,-0.5586026377628328,-0.13363882450497086
1302405,AM,Lábrea,0.33254822935464207,-5.1752969798014,-4.3291032374150396,-0.23786855353668546,0.7863390767971195,1.7490649004396281,-1.124776390649236,-0.7260878964780513
1302504,AM,Manacapuru,-0.0071938976557093465,-0.5267443887631519,-0.8304507754962248,0.4749086371670504,0.8976309598061122,-0.4246597392114221,-0.9168090157672816,-0.5762623421009359
1302553,AM,Manaquiri,0.5173326367461961,-0.9353278104430232,-1.7439127863634964,-0.734936130684627,0.9939474096837796,0.6209584525493477,-0.5276847147819581,-0.5066731587173603
1302603,AM,Manaus,-0.5203600511057741,-0.17874572283998869,-0.1334357907436706,0.2787132181703792,0.4161107653582389,-0.5062878279919543,0.8110867842573178,1.2114305440155155
1302702,AM,Manicoré,2.615863461492204,-6.451225922098994,-4.259013715527711,-1.0049980007061285,0.6237721992703383,0.659446437305247,-0.9789387458731417,-0.5740163706814109
1302801,AM,Maraã,-0.09041740938167625,-1.961774013404586,-4.336569178893553,-0.8386783246037371,-1.191052476970887,0.35609552131194433,-0.064729558666754,-0.30778807096887073
1302900,AM,Maués,0.6807689317349255,-1.8437028516769394,-2.1628228595884025,-0.20054812640053624,0.6133339111954205,0.9998526549039212,-1.1144336863813256,-0.3775400674696717
1303007,AM,Nhamundá,-0.009112573477348585,-0.9149420281439853,-1.5811280736666071,-1.497854972567464,-1.4550385030557724,2.210677639531602,-0.7190731937275412,-0.6557115864286471
1303106,AM,Nova Olinda do Norte,1.8875250191592463,-1.9337940584477677,-1.394484949416231,-0.5789085094060119,0.26052733276290446,0.06559069458196785,-0.31893617320326123,-0.1764495306614181
1303205,AM,Novo Airão,0.15555228073314156,0.7457697521613582,-1.7594069094236755,-7.642159965829185,-0.07159471892876347,0.39418520812960306,-0.2976607737733878,-0.20871282271875494
1303304,AM,Novo Aripuanã,0.05506827031132081,-4.575304419556235,-4.336569178893553,-0.3984709085646126,-0.6576787207652103,-0.59319376422422,-1.058598636644132,-0.6776521845541169
1303403,AM,Parintins,0.46639293123650766,-3.3830463524348233,-1.8690730907096407,0.5300783497304686,0.5927564457052319,0.07852040133655216,-0.8839517864232074,-0.3900910642182678
1303502,AM,Pauini,-0.016499096205715044,-1.556228445132049,-4.336569178893553,-1.7086033632230904,0.5111073370231398,0.6423318513667936,-0.0203642363822886,-0.2662541610828361
1303536,AM,Presidente Figueiredo,-0.5067624789785043,0.6633161693304557,-1.1940376633075371,0.29565941678143987,-0.22201652451788592,1.155406605692786,-0.4240439743640537,-0.341824421609436
1303569,AM,Rio Preto da Eva,-0.11807515926910132,-0.5706161870550328,-0.2510466052768653,0.11189996275818215,0.6067429883873544,0.09969941457613142,-0.9446767591965524,-0.09667437062798356
1303601,AM,Santa Isabel do Rio Negro,2.86926418735067,-5.776330239618931,-4.336569178893553,-0.907532875809167,0.8503246667061158,-0.3315031038294609,-1.1430793911645392,-0.6866251680204161
1303700,AM,Santo Antônio do Içá,0.27052873975240427,-2.2125541808683478,-4.336569178893553,-0.5721334400882625,-0.26630704549844525,0.03944729911037486,-0.9312422869348019,-0.6401448309239212
1303809,AM,São Gabriel da Cachoeira,-0.16030877844186528,-4.616687098741054,-4.336569178893553,0.15390385797085038,0.35412939201581556,-0.3094721427689413,-1.1798256382708692,-0.5993588569118075
1303908,AM,São Paulo de Olivença,1.1512919462716396,-6.040563238985193,-4.336569178893553,-0.25373587329768077,0.2719450724327766,-0.34559843373271243,-1.1138093842298982,-0.7132026617246472
1303957,AM,São Sebastião do Uatumã,-0.21548777163651947,-2.816782137437441,-1.1180305336171135,0.4367402576568128,-0.1526853524331985,1.3589329400825236,-0.5472614692128511,-0.6604734250454073
1304005,AM,Silves,0.3806592151747202,-2.6109892396531187,0.14576954768981204,0.6812697292543594,1.2931131387330859,0.7205596062221346,-0.14982701057473738,-0.5859491038309994
1304062,AM,Tabatinga,1.2394145274868515,-6.923222524417359,-3.598379949354838,-0.6231190976376454,0.9211714624798154,-0.9419713075515278,0.38542708280991156,3.73549464551538
1304104,AM,Tapauá,1.1745814855928023,-2.2236318568436615,-4.336569178893553,-0.010562292453445598,0.8146999904186379,1.181343770479867,-0.7810871827794984,-0.4465315180042428
1304203,AM,Tefé,1.1600890369953611,-5.443632126192325,-3.8276912628408333,0.34040624744429604,0.6278125666982373,-0.3548299579139009,-1.17449983792694,-0.7635308608420672
