cod_mun,uf_rqual,nome_mun_rqual,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP,Código da Grande Região,"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)","Valor adicionado bruto da Indústria,
a preços correntes
(R$ 1.000)","Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)",POP__Área da unidade territorial (Quilômetros quadrados),POP__Densidade demográfica (Habitante por quilômetro quadrado),LAT__lat,LAT__lon,LAT__capital,LAT__siafi_id,LAT__ddd,URB__Rural,IDHM__IDHM 2010
1100296,RO,Santa Luzia D'Oeste,-0.3720286999256261,0.5957681927395474,0.018601643811024908,0.6575454774646994,0.3717040775907032,-1.7068749099518485,0.014898054424386038,-1.7439989958065492,0.0035977405544217857,-0.16295261570755365,0.04936460425468052,-0.05847152714591002,-0.18456545298369,0.7388499277250488,-1.405731025662152,-0.06978634516405739,-1.467753844371136,0.468105881284533,-0.08023269998926519,0.14968677017787835
1100304,RO,Vilhena,-0.54895059595787,0.18855812652614182,0.4490433965094459,0.34810634774377364,0.5947845643836657,-0.9790263188630601,3.0976382101481468,-1.7439989958065492,2.377924118558461,0.005154451857839256,0.1540855241926328,1.8149579843145869,-0.18120398960054293,0.7037144004211427,-1.289838490756713,-0.06978634516405739,-1.4775894067009083,0.468105881284533,0.16507376733387227,0.9968579382382686
1100320,RO,São Miguel do Guaporé,1.9396174469017002,0.4694954171632293,-1.5363611256239107,-0.24066912012893002,1.4360268055160963,0.21627800471749306,-0.7055195152095874,-1.7439989958065492,1.151915410724547,-0.13023061502753971,0.12506077898142642,1.0587193581093448,-0.19009506024896694,0.747692174214321,-1.472716612017036,-0.06978634516405739,-1.4670981402158179,0.468105881284533,0.9108845591147016,-0.18362647627211187
1100338,RO,Nova Mamoré,-0.8747614680893625,0.17282748996570127,-0.4368296596504664,-0.43482894921623166,0.4563882231970764,-0.7520600982965528,-0.7001755860477114,-1.7439989958065492,0.9956502239090025,-0.15897153774239045,-0.25758366701963853,1.5244069079357454,-0.19071693097484915,0.8013709888281199,-1.658796381058527,-0.06978634516405739,-1.4664424360604997,0.468105881284533,1.0999000262383214,-1.0030215404616711
1100346,RO,Alvorada D'Oeste,-0.7583365225802456,0.9875195930677519,-0.7481222153801818,0.3352117718745933,-0.7525315338701292,0.4727449516705835,-0.5708298347296705,-1.7439989958065492,0.17379865124719754,-0.1636633462905133,-0.198800200518257,0.2682468839544275,-0.1876916139300168,0.7622416509929912,-1.4418029239966461,-0.06978634516405739,-1.4703766609924087,0.468105881284533,0.13629881515520512,-0.22529063207836067
1100379,RO,Alto Alegre dos Parecis,-0.9778087687393023,-0.10876000522573549,-0.6153781269663767,-0.182399431844727,-0.16459665871283624,-0.19639298572711905,-0.6628259580771264,-1.7439989958065492,0.7172075791062027,-0.16037733283948435,0.06162744516832117,0.43399440415284807,-0.19009506024896694,1.1846809150214819,2.5496700204671097,-0.06978634516405739,-1.4811957795551582,0.468105881284533,0.3388025411125752,-0.9335812807845899
1100403,RO,Alto Paraíso,-0.5525962630737857,0.44995333340933147,-0.1907036729864725,-0.028324790154979605,-0.3483004009548153,-0.05512964433735837,-0.4583064169424933,-1.7439989958065492,0.3317829842803486,-0.157759442403023,-0.2610898583409537,0.2009250438896784,-0.18463268225135296,-2.8145366853647675,-1.5153767900078896,-0.06978634516405739,-1.260551331290599,0.468105881284533,0.6389612610262969,-0.4752755669158533
1100452,RO,Buritis,-0.6744456453510997,-0.760950243602336,-1.3215969188050583,0.3412118898886494,0.32123758021557575,-0.2359072363026966,-0.450946392735377,-1.7439989958065492,0.9650872565670573,-0.152512436653354,-0.24628625758048014,0.31045962061693627,-0.18056531155774497,0.8102674310761664,-1.5519182633502884,-0.06978634516405739,-1.4805400753998401,0.468105881284533,0.7137761366908315,-0.6002680343345996
1100502,RO,Novo Horizonte do Oeste,-0.628511181115253,0.6371270240766344,-0.7012948980938156,0.5339113321958717,-0.08267488241955788,0.6795091590668795,0.7042899628082647,-1.7439989958065492,0.002576551178308326,-0.1634010731096838,-0.12834446228250926,-0.12168716080477221,-0.17969133107812674,0.7476588229781521,-1.4211985418316175,-0.06978634516405739,-1.2559614022033718,0.468105881284533,-0.045163227021514596,-0.350283099497107
1100601,RO,Cacaulândia,-0.3441920639641538,1.1461126903387804,-1.5185993674872784,-1.128446537647629,0.21618529904345252,0.2844728347434726,-0.680840388584065,-1.7439989958065492,0.3699693386066417,-0.16756761289373398,0.23347400901234397,0.077821985578698,-0.19140603096839431,1.1921140717826193,-1.4858860565569074,-0.06978634516405739,-1.2598956271352808,0.468105881284533,-0.43002821241118777,-0.18362647627211187
