cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,hdbscan_cluster,hdbscan_noise,perfil_hdbscan,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP
4103800,Cambira,PR,1,-1,True,C1-intermediário,-0.37165888307927886,0.5412011607951766,0.7054178632022,0.14409803850538744,-0.2789291927627091,0.06747852898122965,-0.20830723004527243
4103909,Campina da Lagoa,PR,1,-1,True,C1-intermediário,0.1814126939813237,0.495145706269392,-0.14628625286191296,-0.49749258581596484,0.26333715611553665,0.2713036539052568,-0.7013346290228563
4103958,Campina do Simão,PR,1,-1,True,C1-intermediário,0.5301566715856907,-1.5734920073165808,-0.13369312136554318,0.40216449539227195,0.4730144726767646,0.8511368027783978,-0.7047122160144558
4104006,Campina Grande do Sul,PR,1,-1,True,C1-intermediário,0.028851423214850267,0.05656344566045939,0.8348083641475724,-1.2076822941331686,0.2798016848250456,-0.5215359866286565,-0.30538822385765924
4104055,Campo Bonito,PR,1,-1,True,C1-intermediário,-0.3703317357718209,0.056399199454263194,0.24070950600886648,-0.5324508912275556,0.38295964273611893,0.30465046263558904,0.3373003459981615
4104105,Campo do Tenente,PR,1,-1,True,C1-intermediário,-0.31698799771090846,0.061982167650345754,0.3856889462504293,-0.11178167460401287,-0.6556999500075581,-0.8983853874435709,-0.6793244637138197
4104204,Campo Largo,PR,1,-1,True,C1-intermediário,-0.6522329912737025,0.031128663942994107,0.7027689930030971,0.47119910129000714,0.4940195255366609,-0.5703806767762137,0.9012213320789451
4104253,Campo Magro,PR,1,-1,True,C1-intermediário,-0.3542922125988284,0.2717951812957818,0.6279869125028444,0.010831990235322168,-0.4217337401191679,-0.35560955862972554,-0.3314256582455432
4104303,Campo Mourão,PR,1,-1,True,C1-intermediário,-0.09947234586799006,-0.26057645600070556,0.45680971150264893,0.5091632554292727,0.20970235314545838,-0.27383312774178575,0.6171120021408596
4104402,Cândido de Abreu,PR,1,-1,True,C1-intermediário,-0.07437030250978394,0.25346425257340893,0.5436477588714315,-1.7283838034280654,-1.0436272389778274,0.270478913986477,-0.718630392819916
4104428,Candói,PR,1,-1,True,C1-intermediário,0.1480823373168783,0.5947686873566478,0.9482896035526531,0.5453115865119771,0.1497404464568759,-0.09986423449528062,-0.7481030008906752
4104451,Cantagalo,PR,1,-1,True,C1-intermediário,-0.07419587743508958,0.45043660302955424,0.6474465962734222,0.11214856099815226,0.63571507340163,-0.31037909088850535,-0.7267235753924914
4104501,Capanema,PR,1,-1,True,C1-intermediário,-0.22825872058371563,0.5254216252629783,0.5649023916661138,0.2978487181540144,1.4360268055160963,-0.18363135123215274,-0.7343719129870313
4104600,Capitão Leônidas Marques,PR,1,-1,True,C1-intermediário,0.5409482751200492,-0.47443553757684764,0.8903529592908869,0.45923467159268166,0.11156664391732576,1.553273687851719,-0.6670496515063289
4104659,Carambeí,PR,1,-1,True,C1-intermediário,0.02630330038453111,-1.0757235970797103,0.47286423152559726,0.16801837258308958,0.52852932311954,-0.5949173161018706,-0.3447830206444172
4104709,Carlópolis,PR,1,-1,True,C1-intermediário,-0.44026102332650857,0.6773365995752098,0.7076402203001151,0.23796689244942665,0.16487434131116016,0.46659851786898465,-0.7154980784559084
4104808,Cascavel,PR,0,-1,True,C0-ruído,-0.8254522578431223,-0.029558497277507496,0.5195811732497307,0.35202668060585796,0.6992915924074156,-0.6605742132931831,1.3604601596526629
4104907,Castro,PR,1,-1,True,C1-intermediário,-0.5116994669622484,-0.14297745827791805,0.4059875818821822,0.568288557630595,0.39230861115795856,0.3188349865452157,-0.5833247029985261
4105003,Catanduvas,PR,1,-1,True,C1-intermediário,-0.5703290431562936,1.0512292996831205,0.21140728370364012,0.596518852151014,0.14321363751090405,4.149286050617822,-0.736699370569769
4105102,Centenário do Sul,PR,1,-1,True,C1-intermediário,-0.1092553174486805,0.04985658918938265,0.4377655999984166,0.609916237167666,-0.14792616533289124,-0.2360234882642727,-0.7152846838522021
4105201,Cerro Azul,PR,1,-1,True,C1-intermediário,-0.6041561320986735,0.13820620166846298,0.8204790018713299,-1.0573765732420028,0.1659965483465432,-0.1275152763642116,0.12682536293455846
4105300,Céu Azul,PR,1,-1,True,C1-intermediário,-0.2972703805715323,0.037159714493772464,0.9072080558028472,0.4873017197966517,1.4360268055160963,1.2262414382397766,-0.6374404853627614
4105409,Chopinzinho,PR,1,-1,True,C1-intermediário,1.576964965515173,-0.1488384175617823,0.5065028097238518,-1.0388527647438515,0.5735088432437027,0.01769574496003328,-0.6853171703652173
4105508,Cianorte,PR,1,-1,True,C1-intermediário,-0.42369822492943254,-0.7182299807226455,0.5444841524113473,0.2578109071602526,0.36058148413928764,-0.43033633948951844,1.4364798222711006
4105607,Cidade Gaúcha,PR,1,-1,True,C1-intermediário,-0.16193927370531372,-0.16197121688579214,0.7498830853066167,0.2351959208857578,0.2401428548315847,-0.08465903481675015,-0.6514646629298254
4105706,Clevelândia,PR,1,-1,True,C1-intermediário,-0.11136358574281371,0.26949351328596793,0.6392612237344637,-0.2155407486504859,0.8297150026028979,0.09668085466046002,0.10113227742119239
4105805,Colombo,PR,0,-1,True,C0-ruído,-0.9221595862128629,0.32953362628490784,0.9072376171248675,0.3571789558570498,0.4922722838515639,-0.7399556109511624,1.3150423312913393
4105904,Colorado,PR,1,-1,True,C1-intermediário,-0.7612865814522524,0.1484549956298695,0.552651863187151,0.5576799156332684,0.12556436288258513,0.09418011485946606,-0.7157032412203025
4106001,Congonhinhas,PR,1,-1,True,C1-intermediário,-0.7732991605094723,1.0181660062738394,0.3880316235609829,-0.15674748412020226,0.36627028105433845,-0.4677793360556843,0.014811835405867863
4106100,Conselheiro Mairinck,PR,1,-1,True,C1-intermediário,0.203496425177425,0.06916457826149514,0.7310453339160952,-0.2051254908190181,0.17103930468824774,0.6156797823692619,0.5263244754415705
4106209,Contenda,PR,1,-1,True,C1-intermediário,-0.21796764117674122,0.12614480197419076,0.6006744255687904,0.34602528379420455,-0.047609090491673604,-0.4852117026692163,0.48347710593926374
4106308,Corbélia,PR,1,-1,True,C1-intermediário,-0.4465403260155099,0.4017890978774508,0.43153485613260134,0.5709862302061693,-0.5643187824883209,1.494822002373972,-0.3616398012567098
4106407,Cornélio Procópio,PR,1,-1,True,C1-intermediário,-0.544332123327916,0.3947620489802042,0.8360102286586103,0.5401150347768084,-0.2390526232689712,-0.22344206622462368,1.819156292848049
4106456,Coronel Domingos Soares,PR,1,-1,True,C1-intermediário,0.1712126189611465,-2.3505779834147775,0.2287611024529044,0.6561643761315157,0.10631886650456221,0.5284651085556122,-0.5068413053427816
4106506,Coronel Vivida,PR,1,-1,True,C1-intermediário,1.7815504107340006,-0.718938994649978,0.39936708469445226,0.2646818253975664,0.1975444000689602,-0.5373748024534455,-0.7540968473352082
4106555,Corumbataí do Sul,PR,1,-1,True,C1-intermediário,1.0644889286649861,-1.1114280335787325,0.2086777388577153,0.18533158608551367,-1.157873229401051,1.6927147553795907,0.12901912929560294
4106571,Cruzeiro do Iguaçu,PR,1,-1,True,C1-intermediário,0.008951797301880044,-2.621368190193578,0.08948027691550832,-0.33287809487813214,-0.8808017635053531,1.2458744222113112,0.16641794929056064
4106605,Cruzeiro do Oeste,PR,1,-1,True,C1-intermediário,0.967265908770062,-0.6344240120844878,0.43230545706005774,0.4347093810297667,0.41229471485300784,0.6041237298660974,-0.6661601062858942
