pair_rank_global,cluster_id,cluster_nome,cod_mun_a,nome_a,uf_a,cod_mun_b,nome_b,uf_b,dist_socio,dist_rqual,divergencia,indicador_dominante,divergencia_ponderada,IND2_a,IND4_a,IND5_a,IND8_a,IND9_a,INF1_a,INF4-UP_a,IND2_b,IND4_b,IND5_b,IND8_b,IND9_b,INF1_b,INF4-UP_b
750,1,C1: Intermediário,3542800,Ribeira,SP,4319364,São Pedro das Missões,RS,1.83909824339107,13.024243186816776,7.081863748463929,IND5,1.2871653645990664,-0.1666297914748153,-0.7896598959392781,-1.5242806783690654,-4.20162937971753,0.9059003141634744,-0.9969422333063894,-0.6880279240966721,4.274661089234527,0.9550840652262752,0.6641822662466464,0.6454593062424265,0.143213637510904,4.29441332876256,-0.2639016888400841
751,1,C1: Intermediário,3129905,Ibitiúra de Minas,MG,3145406,Olaria,MG,1.3738838191112028,9.723547875875303,7.077416396888839,IND5,0.9920575075773236,0.7391027436718803,0.2484858390074621,0.9155307520342064,-4.20162937971753,-0.0135018052482852,0.8202575669176154,1.6705961621387273,-0.3882595999708537,0.6431658989466237,-0.7711842217928389,0.4927033605663823,-0.4105868751893952,-0.220293275235918,-0.6913834750876515
752,1,C1: Intermediário,3542800,Ribeira,SP,3548401,Santópolis do Aguapeí,SP,1.2315963369988117,8.712774063957802,7.074374772918664,IND5,1.2472863171131274,-0.1666297914748153,-0.7896598959392781,-1.5242806783690654,-4.20162937971753,0.9059003141634744,-0.9969422333063894,-0.6880279240966721,-0.267504362389974,0.9839267093947413,0.5963791540049397,-0.1766840594141307,0.63571507340163,-0.9635563460883658,-0.7071490937382034
753,2,C2: Nordeste Vulnerável,2106672,Milagres do Maranhão,MA,2200954,Aroeiras do Itaim,PI,1.1920151218536845,8.429296010553555,7.071467340425865,IND5,0.41886197502633987,3.925769229501615,-0.5933535317014217,0.7939326983745975,-4.20162937971753,0.6080930742638448,0.2819246659984742,0.3825931561462959,-0.6602262099140497,0.3444893831458713,0.0725748184074698,0.6812697292543605,0.7320348312344565,-1.4370172127985952,-0.4313921017023469
754,1,C1: Intermediário,3553856,Taquarivaí,SP,4322152,Tunas,RS,1.8583706817855596,13.140730124047572,7.071102792232276,IND5,2.680784933515537,1.4775730077349174,0.0947091302192572,0.2454234127507548,-3.9752719864020514,0.63571507340163,-0.8857239584625443,-0.6407827387671596,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
755,1,C1: Intermediário,3129905,Ibitiúra de Minas,MG,3150539,Pingo-d'Água,MG,1.3827747688548917,9.776655055022763,7.070316343744632,INF4-UP,0.29161777826159274,0.7391027436718803,0.2484858390074621,0.9155307520342064,-4.20162937971753,-0.0135018052482852,0.8202575669176154,1.6705961621387273,-0.8264343468506413,0.9800238287514712,0.4576306157058837,0.675944816336488,1.0549183586831874,-0.0530358838586151,-0.5634610467797789
756,1,C1: Intermediário,3118502,Consolação,MG,5203962,Buritinópolis,GO,1.4212679515058806,10.047914613216932,7.069683514288174,IND5,0.4610886683922552,-0.643083258551142,0.2372947842359438,-0.1041989931229209,0.6453679148455925,-0.3011923026367514,1.4093041678651543,-0.6454126580882534,0.1723534239527817,0.6955398102826086,0.6797526984866221,-4.20162937971753,-0.948894953379424,-1.7196417421393082,1.9688456546098376
757,1,C1: Intermediário,3119609,Coronel Pacheco,MG,5213400,Moiporá,GO,1.3195689396568138,9.3272200884855,7.068384076881112,IND5,3.100688189913765,-0.3925254306019687,0.9586107410615152,0.9352796394962288,0.3603554889233148,-0.1645966587128362,0.2786672721127214,-0.3489936697744021,-0.4188901598269846,0.3823836131925512,-4.336569178893552,0.6231284322422653,-0.4700279482816945,0.3565115532819547,-0.7297580303744349
758,1,C1: Intermediário,3542800,Ribeira,SP,3556602,Vera Cruz,SP,1.3927638173072254,9.83956382296951,7.064775587671844,IND5,1.1739773053437768,-0.1666297914748153,-0.7896598959392781,-1.5242806783690654,-4.20162937971753,0.9059003141634744,-0.9969422333063894,-0.6880279240966721,-0.3164268039923262,0.2366644959569082,0.4717377829922929,0.6562871406944677,1.231445223519181,-0.9706420592220978,-0.6874169949760319
759,1,C1: Intermediário,3522000,Itaju,SP,4306130,Cruzaltense,RS,1.5161144871567098,10.710446383922205,7.064404744884373,IND5,0.5877739848629967,0.4670792559869362,0.2394103301307353,0.2005063662099444,-4.20162937971753,1.4360268055160963,-1.2499687079142427,-0.6327038850225737,-0.9073486222616316,0.6788060478398927,1.1998508335639548,0.6812697292543605,-2.00995064875198,2.709766829769457,-0.6410595022508101
760,1,C1: Intermediário,3153004,Pratinha,MG,4306452,Dois Lajeados,RS,1.4737927427054183,10.408181010026725,7.0621741452318565,IND5,1.5288950483250747,-0.3499581286776154,-1.2189132642893308,-1.7184998564080145,-4.20162937971753,-0.4397033364401437,0.5235077281258746,2.699865836896199,-0.1830674588400453,0.8156192153636447,0.8809564772450308,0.4912532041665577,-1.601289491992581,2.061215096020245,3.131133164894432
761,2,C2: Nordeste Vulnerável,2106672,Milagres do Maranhão,MA,2202117,Campo Alegre do Fidalgo,PI,1.220172542365557,8.61327968531473,7.059066959134351,IND8,0.2542176066897349,3.925769229501615,-0.5933535317014217,0.7939326983745975,-4.20162937971753,0.6080930742638448,0.2819246659984742,0.3825931561462959,-0.9540111215918552,1.0564202336101849,0.5994111348789047,0.5909763932061541,0.6665229134670307,-1.4444888957581772,-0.0880463059327701
762,2,C2: Nordeste Vulnerável,2201176,Barra D'Alcântara,PI,2513505,Santana de Mangueira,PB,1.0479146056624549,7.39704613883217,7.058825301034134,IND5,3.145153594408678,1.3698996507561236,-4.054627871998782,-4.336569178893552,-0.525616412630312,0.8590381673977425,-1.1653565660616163,0.1947560890498549,0.8466585533177275,1.2139217657919943,1.0799676860032057,-0.7399405404042722,-1.5488220329939413,1.9788413228538195,2.2190199390614103
763,1,C1: Intermediário,3102001,Alterosa,MG,4322152,Tunas,RS,1.6842429876145493,11.886007057738464,7.057180666974805,IND5,3.1068174565042894,-0.5598862897713239,0.8334775769735249,0.969771981632921,0.4869743476288146,-0.5457002672674582,-0.5383667170946971,2.75564853741217,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
764,2,C2: Nordeste Vulnerável,2201176,Barra D'Alcântara,PI,2203420,Domingos Mourão,PI,1.384373610040657,9.769390081572089,7.056902850256062,IND5,3.2048844040386943,1.3698996507561236,-4.054627871998782,-4.336569178893552,-0.525616412630312,0.8590381673977425,-1.1653565660616163,0.1947560890498549,-0.3464885864309752,1.0519277199417834,1.1828352002976683,0.4550657916425983,0.3051151002941978,8.029929952772747,-0.6195366907761776
765,2,C2: Nordeste Vulnerável,2309102,Mulungu,CE,2912103,Ibicaraí,BA,0.9039905110867791,6.377083244341241,7.054369663261543,IND5,1.196856493112322,1.820784135299131,-4.054627871998782,-1.7021861560236151,-2.373688055778585,-0.1515321413373044,-1.0631345518892326,-0.7254053232174638,-0.2246412962085301,0.639521979255518,0.3590223421746365,0.1531058883116627,-1.993885191041514,0.6223490518619116,-0.700392400030824
766,1,C1: Intermediário,3126901,Frei Inocêncio,MG,5203962,Buritinópolis,GO,1.4165193440059143,9.981608680741699,7.046574207357558,IND5,0.5760151953079985,-0.3128738410577887,0.383511776052738,-0.2995992520374599,0.6781187721387323,0.1311823049922647,0.867910429370863,-0.6161126762108579,0.1723534239527817,0.6955398102826086,0.6797526984866221,-4.20162937971753,-0.948894953379424,-1.7196417421393082,1.9688456546098376
